code,name,foreign_name,group_code,group_name,brand,subgroup,uom,sales_uom,price,currency,valid,frozen,sellable,stocked,on_hand,committed,on_order,created,updated,series,warranty,stock_WH-1,stock_WH-2,stock_WH-3,stock_WH-4
((CR)841110,Impression Trays - Perforated With Retention Rim XXS-U1,ដែកខាំពុ​ម្ភមានគែម XXS - U1,101,Materials,CORICAMA,Impression Tray,Pair,Pair,15.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)001,Vera Bond 200g,អ៊ីណុកសេរ៉ាមិកVera Bond 200g,106,Lab Material,Aalbadent,Metal Ceramic,,,35.5,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)002,Vera Solder (2g),Vera Solder (2g) ត្រីផ្សារ,106,Lab Material,Aalbadent,Soldering Lab,Package,Package,9.5,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)003,Vera Flux,ទឹកផ្សារ Vera Flux,106,Lab Material,Aalbadent,Solder Flux,,,12.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)004,NPG Alloy 100g,មាសអាមេរិក NPG (100g),106,Lab Material,Aalbadent,Gold,,,22.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)006,NPG (1kg),មាសអាមេរិក NPG(1kg),106,Lab Material,Aalbadent,NPG,,,210.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)007,NPG Aalba Gold Solder,មាសត្រីផ្សារ​ NPG Aalba Gold Solder,106,Lab Material,Aalbadent,Gold Solder,Package,Package,105.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)008,NPG Aalba Flux,ទឹកផ្សារមាសអាមេរិកកាំង NPG​ Aalba Flux,106,Lab Material,Aalbadent,NPG Flux,,,12.7,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)009,NPG Aalba Casting Flux,ទឹកផ្សារពេលរំលាយមាស​​ NPG​ AlbralCasting Flux,106,Lab Material,Aalbadent,NPG Casting Flux,,,11.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)010,Vera Soft (191g),Vera Soft (191g) អ៊ីណុករ៉េស៊ីន,106,Lab Material,Aalbadent,Metal Inox,,,32.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)011,Vera PDN Reg. (200g),អ៊ីណុកឆ្អឹងស្គេឡេតVera PDN Reg.(200g),106,Lab Material,Aalbadent,Metal Inox,,,31.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)012,Vera PDN Reg. (1kg),អ៊ីណុកឆ្អឹងស្គេឡេតVera PDN Reg. (1kg),106,Lab Material,Aalbadent,PDN,,,145.0,USD,1,0,1,1,300000.0,1.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)013,Vera PD Solder (2g),Vera PD Solder (2g) ត្រីផ្សារ,106,Lab Material,Aalbadent,Soldering Lab,Package,Package,7.5,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)014,Vera PD Flux,Vera PD Flux ទឹកផ្សារ,106,Lab Material,Aalbadent,Solder Flux,,,13.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AD)015,Continum C (200g),Continum C (200g) អ៊ីណុកទីតាញូម,106,Lab Material,Aalbadent,Titanium Alloy,,,35.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1E2,28Acry Lux A1-E2,28Acry Lux A1-E2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1F4,28Acry Lux A1-F4,28Acry Lux A1-F4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1H1,28Acry Lux A1-H1,28Acry Lux A1-H1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1H2,28Acry Lux A1-H2,28Acry Lux A1-H2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1H4,28Acry Lux A1-H4,28Acry Lux A1-H4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A1I1,28Acry Lux A1-I1,28Acry Lux A1-I1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2E2,28Acry Lux A2-E2,28Acry Lux A2-E2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2F4,28Acry Lux A2-F4,28Acry Lux A2-F4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2H1,28Acry Lux A2-H1,28Acry Lux A2-H1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2H2,28Acry Lux A2-H2,28Acry Lux A2-H2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2H4,28Acry Lux A2-H4,28Acry Lux A2-H4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A2I1,28Acry Lux A2-I1,28Acry Lux A2-I1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,1.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3E2,28Acry Lux A3-E2,28Acry Lux A3-E2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3F4,28Acry Lux A3-F4,28Acry Lux A3-F4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3H1,28Acry Lux A3-H1,28Acry Lux A3-H1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3H2,28Acry Lux A3-H2,28Acry Lux A3-H2,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3H4,28Acry Lux A3-H4,28Acry Lux A3-H4,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)28A3I1,28Acry Lux A3-I1,28Acry Lux A3-I1,101,Materials,Ruthinium,Acrylic Tooth Set,Set,Set,20.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K1,Acry LuxA2-K1,6ក្រោមAcry Lux A2-K1,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
(AL)6LA2K10,Acry LuxA2-K10,6ក្រោមAcry Lux A2-K10,101,Materials,Ruthinium,Acrylic Tooth 6 Lower,Set,Set,5.0,USD,1,0,1,1,300000.0,0.0,0.0,2026-06-29,2026-08-04,,,100000.0,100000.0,100000.0,0.0
